ID,Age,Gender,Tenure,Plan,Months To Contract End,ARPU,Churned
18787902,70.0,FEMALE,50.419354838,1000Mbps Fibre Broadband,19.93548387,31.81,0.0
21213619,40.0,MALE,23.64516129,1000Mbps Fibre Broadband,0.322580645,37.2905,0.0
17425401,48.0,MALE,64.548387096,1000Mbps Fibre Broadband,7.612903225,31.32,0.0
20455448,25.0,FEMALE,32.193548387,1000Mbps Fibre Broadband,22.129032258,0.0,0.0
22898445,47.0,FEMALE,0.93548387,MaxInfinity 500Mbps,23.032258064,0.0,0.0
17338280,39.0,MALE,65.29032258,1000Mbps Fibre Broadband,23.548387096,37.2905,0.0
20084402,57.0,MALE,37.967741935,1000Mbps Fibre Broadband,-14.0,34.92,0.0
21656426,45.0,MALE,17.870967741,1000Mbps Fibre Broadband,-3.129032259,31.32,0.0
16174742,60.0,MALE,51.93548387,MaxInfinity 500Mbps,9.870967741,27.9439,0.0
19553994,67.0,MALE,44.516129032,1000Mbps Fibre Broadband,14.93548387,20.2214,0.0
6416433,68.0,FEMALE,51.548387096,1000Mbps Fibre Broadband,9.580645161,31.32,0.0
6416433,68.0,FEMALE,51.548387096,1000Mbps Fibre Broadband,9.580645161,31.32,0.0
13446621,73.0,MALE,50.903225806,1000Mbps Fibre Broadband,19.93548387,31.81,0.0
6652117,60.0,FEMALE,79.354838709,1000Mbps Fibre Broadband,21.096774193,31.81,0.0
6367473,51.0,FEMALE,79.483870967,1000Mbps Fibre Broadband,15.806451612,37.2905,0.0
17756607,54.0,MALE,61.258064516,1000Mbps Fibre Broadband,4.354838709,36.08,0.0
18749502,35.0,FEMALE,6.774193548,1000Mbps Fibre Broadband R1,17.193548387,42.8972,0.0
18749502,35.0,FEMALE,6.774193548,1000Mbps Fibre Broadband R1,17.193548387,42.8972,0.0
20929455,34.0,MALE,26.580645161,2000Mbps Fibre Broadband,-2.612903226,69.8776,0.0
13422860,46.0,MALE,89.967741935,1000Mbps Fibre Broadband,-15.032258065,34.92,0.0
19310150,58.0,MALE,46.258064516,1000Mbps Fibre Broadband,1.64516129,36.08,1.0
12890532,50.0,MALE,47.741935483,1000Mbps Fibre Broadband,-92.06451613,46.6364,0.0
6015627,40.0,MALE,86.709677419,1000Mbps Fibre Broadband,-24.516129033,37.38,0.0
6174750,55.0,MALE,80.483870967,1000Mbps Fibre Broadband,-91.580645162,46.6364,0.0
6174750,55.0,MALE,80.483870967,1000Mbps Fibre Broadband,-91.580645162,46.6364,0.0
21379462,42.0,MALE,21.677419354,1000Mbps Fibre Broadband,2.29032258,51.3831,0.0
